S. No.,State,District,Location,Longitude,Latitude,Year,pH,EC (µS/cm at 25 °C),CO3 (mg/L),HCO3 (mg/L),Cl (mg/L),F (mg/L),SO4 (mg/L),NO3 (mg/L),PO4 (mg/L),Total Hardness (mg/L),Ca (mg/L),Mg (mg/L),Na (mg/L),K (mg/L),Fe (ppm),As (ppb),U (ppb)
1,Andaman & Nicobar Islands,North & Middle Andaman,Bakultala,92.8577,12.5043,2023,7.96,395,0,171,14,0.18,28,8,0.04,160,12,32,18,5,0.53,-,-
2,Andaman & Nicobar Islands,North & Middle Andaman,Baratang (Nilambur),92.7670,12.1683,2023,8.19,473,0,31,96,0.00,50,10,0.03,135,26,17,39,5,0.00,-,-
3,Andaman & Nicobar Islands,North & Middle Andaman,Basantipur,92.8737,12.7579,2023,8.19,556,0,220,28,0.00,51,1,0.05,230,38,33,22,1,0.22,-,-
4,Andaman & Nicobar Islands,North & Middle Andaman,Betapur,92.9434,12.6191,2023,8.07,487,0,214,57,0.16,0,2,0.08,95,18,12,68,8,0.04,-,-
5,Andaman & Nicobar Islands,North & Middle Andaman,Dhobidera (Mayabunder),92.8992,12.9099,2023,8.02,567,0,232,39,0.13,29,11,0.04,230,28,39,31,1,0.22,-,-
6,Himachal Pradesh,Una,Jhalera,76.2383,31.4906,2023,7.73,626,0,326,24,0.33,27,34,0.00,285,64,30,38,2,-,-,-
7,Himachal Pradesh,Una,Khawaja,76.2439,31.5036,2023,7.71,801,0,417,51,0.30,70,39,0.00,425,90,49,47,10,-,-,-
8,Himachal Pradesh,Una,Panoh,76.2008,31.5350,2023,7.76,649,0,375,29,0.20,27,7,0.00,240,54,26,68,3,-,-,-
9,Himachal Pradesh,Una,Una,76.2708,31.4694,2023,7.90,841,0,431,74,0.41,43,39,0.49,360,58,52,86,3,-,-,-
10,Himachal Pradesh,Una,Bhudwar,76.3703,31.5468,2023,8.52,387,12,260,7,0.22,9,9,0.00,228,52,24,19,2,-,-,-
11,Jammu & Kashmir,Reasi,Aliyah,74.5530,33.1650,2023,7.35,720,0,522,7,0.22,12,7,0.22,424,146,15,7,1,-0.04,0.23,1.15
12,Jammu & Kashmir,Reasi,Bhambla,74.5771,33.0519,2023,7.10,1230,0,638,99,0.28,54,6,0.00,556,194,17,88,2,-0.03,0.42,4.39
13,Jammu & Kashmir,Reasi,Dadua,74.6397,33.0716,2023,7.42,690,0,443,20,0.20,16,8,0.00,379,128,15,13,1,-0.04,0.15,1.60
14,Jammu & Kashmir,Reasi,Garan Jagir,74.6489,33.0709,2023,7.44,750,0,510,12,0.29,17,7,0.00,404,132,18,20,1,-0.04,0.14,3.68
15,Jammu & Kashmir,Reasi,Nanora,74.6311,33.1281,2023,7.38,720,0,504,12,0.22,20,0,0.00,399,119,24,15,8,-0.04,0.65,1.90
16,Andaman & Nicobar Islands,South Andaman,6½ No. Forest Camp,92.9671,12.0080,2023,8.24,368,0,128,53,0.00,0,5,0.10,90,20,10,40,5,1.27,-,-
17,Andaman & Nicobar Islands,South Andaman,Annikat,92.6482,11.7075,2023,8.24,342,0,153,18,0.00,27,1,0.05,145,22,22,16,1,2.28,-,-
18,Andaman & Nicobar Islands,South Andaman,Austinabad (Port Blair),92.7347,11.6351,2023,8.14,278,0,110,28,0.05,12,0,0.00,100,16,15,20,1,0.00,-,-
19,Andaman & Nicobar Islands,South Andaman,Bambooflat,92.7150,11.7055,2023,8.18,515,0,256,32,0.14,22,0,0.00,180,30,26,38,2,0.83,-,-
20,Andaman & Nicobar Islands,South Andaman,Beadnabad Tubewell,92.7339,11.5856,2023,8.22,307,0,116,28,0.00,5,13,0.02,115,24,13,17,4,0.44,-,-
21,Andaman & Nicobar Islands,South Andaman,Bharatpur,93.0384,11.8304,2023,7.98,329,0,146,25,0.34,17,0,0.05,145,14,27,12,0,0.04,-,-
22,Andaman & Nicobar Islands,South Andaman,Bharatpur,93.0447,11.8362,2023,7.63,384,0,134,32,0.49,25,3,0.07,130,18,21,28,4,0.00,-,-
23,Andaman & Nicobar Islands,South Andaman,Bindraban,92.6674,11.7220,2023,8.23,450,0,146,39,0.02,44,0,0.04,175,16,33,26,2,0.82,-,-
24,Andaman & Nicobar Islands,South Andaman,Brichganj,92.7377,11.6150,2023,8.16,292,0,159,14,0.13,7,0,0.00,135,24,18,9,0,0.00,-,-
25,Andaman & Nicobar Islands,South Andaman,Brookshabad (Port Blair),92.7404,11.6380,2023,8.07,526,0,293,21,0.09,17,0,0.00,235,38,34,20,2,0.04,-,-
26,Andaman & Nicobar Islands,South Andaman,Burmanala,92.7294,11.5580,2023,8.27,376,0,189,25,0.09,15,0,0.00,155,30,19,19,0,0.09,-,-
27,Andaman & Nicobar Islands,South Andaman,Calicut,92.7264,11.6074,2023,8.17,394,0,201,21,0.08,16,0,0.00,160,32,19,19,0,0.26,-,-
28,Andaman & Nicobar Islands,South Andaman,Calicut Borewell,92.7195,11.6001,2023,8.05,330,0,104,35,0.00,21,14,0.10,135,22,19,11,4,1.01,-,-
29,Andaman & Nicobar Islands,South Andaman,Chidiyatapu,92.7019,11.5033,2023,8.22,594,0,268,39,0.07,23,0,0.00,225,36,33,29,1,0.09,-,-
30,Andaman & Nicobar Islands,South Andaman,Chouldari 1,92.6670,11.6312,2023,8.24,622,0,256,46,0.10,53,1,0.08,135,26,17,88,1,0.09,-,-
31,Andaman & Nicobar Islands,South Andaman,Corbyn'S Cove (Port Blair),92.7460,11.6425,2023,7.70,713,0,281,78,0.13,30,0,0.00,230,52,24,66,2,0.00,-,-
32,Andaman & Nicobar Islands,South Andaman,Dandaspoint,92.7074,11.6704,2023,8.27,339,0,146,35,0.09,3,5,0.00,150,28,19,12,1,2.76,-,-
33,Andaman & Nicobar Islands,South Andaman,Dhannikhari,92.6671,11.6126,2023,8.24,355,0,61,78,0.00,8,2,0.06,70,14,9,45,10,0.30,-,-
34,Andaman & Nicobar Islands,South Andaman,Dollyganj Chowk,92.7228,11.6343,2023,8.23,591,0,287,21,0.18,29,0,0.06,185,24,30,41,1,0.00,-,-
